username,event_date,country,user_day_total_length,user_day_count,treatment,post
ColinFay,2023-04-04,france,99,1,0,1
ColinLienard,2023-03-18,france,0,1,0,0
ColinLienard,2023-04-02,france,1090,1,0,1
ColinLienard,2023-04-03,france,0,1,0,1
ColinMaudry,2023-03-29,france,954,1,0,0
CommanderRedYT,2023-03-30,austria,346,1,0,0
CommanderRedYT,2023-04-07,austria,288,1,0,1
ConsciousML,2023-03-28,france,324,1,0,0
ConsciousML,2023-04-07,france,120,2,0,1
Copinmalin,2023-03-19,france,155,1,0,0
CorentinLemaitre,2023-04-04,france,818,1,0,1
Cosme711,2023-03-23,france,801,1,0,0
CrazyChaoz,2023-03-24,austria,391,1,0,0
Creative-Difficulty,2023-03-27,austria,427,1,0,0
Creative-Difficulty,2023-03-28,austria,14,1,0,0
CrisLigX,2023-03-20,italy,0,1,1,0
Crocmagnon,2023-03-24,france,332,1,0,0
Crocmagnon,2023-03-25,france,1278,2,0,0
Crocmagnon,2023-04-05,france,822,2,0,1
CruuzAzul,2023-03-26,france,5774,18,0,0
CryLegende,2023-04-06,france,583,1,0,1
Cubox,2023-04-02,france,168,1,0,1
Curs3W4ll,2023-03-30,france,607,1,0,0
Cursusdev,2023-03-31,france,2,1,0,0
Cursusdev,2023-04-06,france,2,1,0,1
CyberPingU,2023-03-21,italy,453,1,1,0
CyberPingU,2023-03-24,italy,1093,1,1,0
CyberPoison,2023-03-26,france,2339,2,0,0
Cykyrios,2023-03-25,france,892,1,0,0
CyndelHerolt,2023-03-30,france,72,1,0,0
CyriacduChatenet,2023-03-18,france,0,1,0,0
CyriacduChatenet,2023-03-20,france,0,7,0,0
CyriacduChatenet,2023-03-21,france,0,2,0,0
CyriacduChatenet,2023-03-22,france,0,5,0,0
CyriacduChatenet,2023-03-23,france,0,4,0,0
CyriacduChatenet,2023-03-24,france,0,5,0,0
CyriacduChatenet,2023-03-25,france,0,1,0,0
CyriacduChatenet,2023-03-27,france,0,3,0,0
CyriacduChatenet,2023-03-28,france,0,11,0,0
CyriacduChatenet,2023-03-31,france,0,1,0,0
Cyril-Pop,2023-04-01,france,578,1,0,1
CyrilleB79,2023-03-19,france,266,1,0,0
CyrilleB79,2023-03-24,france,318,1,0,0
CyrilleB79,2023-03-27,france,1351,2,0,0
CyrilleB79,2023-04-02,france,1340,1,0,1
CyrilleB79,2023-04-03,france,582,2,0,1
CyrilleB79,2023-04-04,france,921,2,0,1
D3SOX,2023-04-02,austria,249,1,0,1
D3m0n92,2023-04-04,italy,1221,1,1,1
D3vil0p3r,2023-03-18,italy,395,1,1,0
D3vil0p3r,2023-03-27,italy,909,1,1,0
D3vil0p3r,2023-03-30,italy,2543,2,1,0
D3vil0p3r,2023-04-01,italy,3030,5,1,1
D3vil0p3r,2023-04-02,italy,852,1,1,1
